instance_id,app_id,machine_id
0,10,7
1,10,13
2,10,6
3,10,4
4,2,7
5,24,19
6,24,19
7,24,22
8,24,24
9,23,17
10,23,12
11,23,12
12,2,7
13,2,11
14,2,14
15,17,17
16,25,6
17,25,19
18,17,21
19,17,17
20,3,5
21,3,24
22,3,24
23,3,5
24,28,11
25,1,16
26,1,9
27,1,14
28,5,15
29,5,15
30,12,18
31,4,10
32,12,3
33,4,10
34,4,10
35,19,16
36,31,23
37,31,1
38,19,11
39,19,12
40,6,5
41,26,3
42,14,16
43,6,5
44,6,1
45,6,1
46,15,0
47,15,0
48,26,10
49,26,3
50,15,0
51,14,23
52,14,22
53,14,23
54,13,9
55,13,12
56,30,9
57,22,5
58,22,23
59,13,8
60,30,17
61,7,24
62,30,20
63,8,17
64,8,12
65,8,17
66,9,19
67,9,19
68,9,19
69,7,10
70,21,1
71,21,1
72,21,6
73,11,10
74,27,0
75,11,4
76,31,23
77,27,3
78,27,2
79,33,7
80,33,14
81,29,21
82,0,4
83,16,11
84,18,15
85,29,13
86,29,10
87,33,8
88,32,18
89,16,11
90,20,11
91,20,11
92,20,23
93,32,0
94,20,6
95,16,6
96,32,24
97,18,6
98,18,2
99,18,22
