instance_id,app_id,machine_id
0,10,24
1,2,7
2,24,17
3,10,6
4,17,0
5,2,6
6,17,3
7,10,13
8,10,24
9,24,17
10,2,20
11,17,14
12,23,14
13,23,13
14,2,16
15,23,17
16,24,19
17,24,19
18,25,19
19,25,3
20,3,24
21,31,23
22,3,5
23,3,24
24,3,5
25,5,12
26,1,19
27,5,10
28,1,9
29,1,9
30,28,11
31,12,18
32,4,10
33,4,10
34,4,10
35,12,4
36,19,11
37,19,11
38,19,5
39,14,16
40,26,10
41,26,10
42,6,1
43,6,6
44,6,20
45,6,6
46,15,18
47,15,1
48,26,3
49,14,23
50,15,0
51,13,8
52,14,22
53,30,7
54,14,23
55,13,14
56,22,1
57,13,8
58,30,17
59,30,6
60,22,5
61,8,9
62,8,12
63,9,19
64,8,23
65,9,19
66,7,12
67,7,11
68,27,18
69,9,11
70,21,1
71,21,15
72,21,15
73,31,24
74,27,2
75,27,0
76,31,23
77,11,4
78,11,5
79,29,13
80,20,8
81,33,7
82,0,20
83,29,10
84,18,3
85,33,12
86,18,15
87,32,17
88,29,21
89,16,11
90,32,24
91,33,9
92,18,4
93,32,0
94,18,2
95,20,11
96,16,6
97,16,14
98,20,22
99,20,22
