t,num_placed,total_power,total_affinity,llm_calls_total,llm_time_total
0,1,747.4059605313,1,3,30.083771467208862
1,2,748.8536078208896,2,6,61.11801266670227
2,3,750.3031952400586,3,9,92.48742628097534
3,4,751.753501650911,4,12,122.71935629844666
4,5,753.208024953374,5,15,156.8230676651001
5,6,754.6742194429636,6,18,186.9705355167389
6,7,756.1464835454266,7,21,216.92575311660767
7,8,757.6208876408026,8,24,247.36355876922607
8,9,759.0986817270522,9,27,277.68681478500366
9,10,760.5935005385697,10,30,307.99417066574097
10,11,762.0967894281592,11,33,338.62405228614807
11,12,763.6045351306224,12,36,368.58497524261475
12,13,765.120531729226,13,39,399.32264256477356
13,14,766.6462520614708,14,42,429.1969757080078
14,15,768.2051825510603,15,45,459.85378766059875
15,16,769.7677811902655,16,48,490.8768091201782
16,17,771.3530627864801,17,51,523.6539626121521
17,18,772.9248485468697,18,55,560.3654088973999
18,19,776.2273704600786,19,59,596.158121585846
19,20,777.8699857742126,20,63,632.4864253997803
20,21,779.6261160676714,21,66,663.6412878036499
21,22,781.3882096612715,22,69,695.7464990615845
22,23,783.1936832918378,23,72,726.0258440971375
23,24,785.2500442873135,23,76,766.1624794006348
24,25,787.0758987738462,24,79,796.2615180015564
25,26,788.9921438756236,25,82,834.8353152275085
26,27,790.9779552040767,26,85,863.8084409236908
27,28,792.9872816294928,27,88,893.9800016880035
28,29,794.994573449953,28,92,928.6528339385986
29,30,797.0451850855101,29,95,959.530436038971
30,31,799.1069794739458,30,98,988.7617635726929
31,32,801.2179856929279,31,101,1017.7746615409851
32,33,803.3229960932338,32,105,1053.1184611320496
33,34,805.4750592601384,33,109,1087.785802602768
34,35,807.6310926172135,34,113,1121.740596294403
35,36,809.799990911011,35,116,1150.5588767528534
36,37,812.0296227491131,36,119,1180.122432231903
37,38,814.2989850125708,37,122,1210.6590557098389
38,39,816.4946446174032,38,126,1246.1019241809845
39,40,818.8687027570306,39,130,1280.3994090557098
40,41,821.251520527942,40,134,1314.8523659706116
41,42,823.6025876484516,41,138,1349.941552400589
42,43,826.7812262931134,42,142,1385.6159961223602
43,44,829.1941669606695,43,146,1419.4661648273468
44,45,831.6157670489373,44,150,1456.4781801700592
45,46,834.0500516564683,45,154,1492.2492861747742
46,47,836.486731764632,46,158,1527.6451263427734
47,48,838.9517276727131,47,162,1562.8769435882568
48,49,841.4421024573932,48,166,1598.5674686431885
49,50,843.834185330563,49,170,1632.1369578838348
50,51,846.396497264606,50,174,1669.7359323501587
51,52,848.9550188056655,51,178,1710.629848241806
52,53,851.298603267511,51,182,1749.3391830921173
53,54,857.2004197406179,52,186,1785.491926908493
54,55,859.1799010093044,52,190,1829.093269586563
55,56,861.7375589564531,53,194,1864.0928766727448
56,57,864.4102963797889,54,198,1900.8963115215302
57,58,867.096159273425,55,202,1934.4249022006989
58,59,870.2249310723006,56,206,1968.7336292266846
59,60,872.9813817010715,57,210,2002.690796136856
60,61,875.8598085517102,58,214,2037.6070246696472
61,62,878.9161628859148,59,218,2072.3284661769867
62,63,881.9297477070747,60,222,2105.479633331299
63,64,885.0276434355508,61,226,2139.8831465244293
64,65,887.9724535376255,61,230,2175.4566729068756
65,66,891.2611976881374,62,234,2210.904903650284
66,67,894.6805636519749,63,238,2246.5362944602966
67,68,898.1023794234534,64,242,2282.9115426540375
68,69,901.6096196873335,65,246,2316.7428159713745
69,70,904.5685057345657,65,250,2356.9513716697693
70,71,908.2222818182657,66,254,2392.5104508399963
71,72,911.7618410634054,67,258,2427.8482105731964
72,73,915.3164958360885,68,262,2461.254753112793
73,74,918.6216705651022,68,266,2503.986960411072
74,75,922.4265610118161,69,270,2538.401006937027
75,76,926.318534489094,69,274,2575.719507217407
76,77,930.7294233669793,70,278,2610.621118783951
77,78,934.3329778420314,71,282,2644.6834774017334
78,79,938.2953987243664,71,286,2686.5193724632263
79,80,943.2177887988184,72,290,2722.5758702754974
80,81,948.5098440674709,73,294,2755.8955438137054
81,82,953.6757977829184,74,298,2791.4987428188324
82,83,959.4368432530428,75,302,2826.1954488754272
83,84,967.0342226295945,76,306,2859.405492782593
84,85,973.255077574987,77,310,2893.0788793563843
85,86,983.22517628965,78,314,2925.9219822883606
86,87,991.6305046678397,79,318,2960.381903409958
87,88,1000.6477320158364,80,322,2994.2074904441833
88,89,1007.7997810997855,81,326,3026.8722484111786
89,90,1016.8671780276754,82,330,3063.8119435310364
90,91,1026.111749300233,83,334,3102.662784576416
91,92,1038.7524655394332,83,338,3142.1091980934143
92,93,1048.4541130949924,84,342,3178.0926084518433
93,94,1058.5502170017076,85,346,3210.3072834014893
94,95,1076.2297535598188,86,350,3243.7957458496094
95,96,1086.900266073264,86,354,3284.3542516231537
96,97,1095.7707638216914,87,358,3318.516749382019
97,98,1105.0752537246542,88,362,3352.2997238636017
98,99,1118.1238019445502,88,366,3400.0119569301605
99,100,1131.5619725733784,88,370,3449.5985791683197
