t,num_placed,total_power,total_affinity,llm_calls_total,llm_time_total
0,1,747.4059605313,1,3,182.73385334014893
1,2,748.8536078208896,2,6,391.40298342704773
2,3,750.3031952400586,3,9,614.913414478302
3,4,751.5247420288822,3,12,813.6690125465393
4,5,753.0026831873453,4,15,1006.4575572013855
5,6,755.2367697303222,5,19,1278.521787405014
6,7,756.623238056832,6,23,1429.4814581871033
7,8,758.0894325464216,7,26,1615.9602518081665
8,9,759.5638366417976,8,29,1808.3612537384033
9,10,761.058655453315,9,32,1961.0528066158295
10,11,762.5619443429047,10,35,2158.3354041576385
11,12,764.0779409415082,11,38,2332.576540708542
12,13,765.6036612737531,12,41,2520.0584065914154
13,14,767.1625917633427,13,44,2681.145966529846
14,15,768.7251904025478,14,47,2821.42800283432
15,16,771.7662839070344,15,51,2971.9210538864136
16,17,773.2873235090592,15,54,3163.567516565323
17,18,774.9432897404707,16,58,3376.868810415268
18,19,776.6198558819299,17,61,3607.449274778366
19,20,778.3404911843929,18,64,3782.549262523651
20,21,780.2299886377978,19,68,3969.39337682724
21,22,781.9861189312566,20,71,4135.217659235001
22,23,783.7785496535745,21,74,4268.933854818344
23,24,785.5840232841408,22,77,4441.943186044693
24,25,787.4098777706737,23,80,4644.018799543381
25,26,789.3956890991268,24,83,4845.123509883881
26,27,791.4050155245429,25,86,4989.56044960022
27,28,793.415521355212,26,90,5192.216888189316
28,29,795.4015095554543,26,94,5381.368901491165
29,30,797.4312738989596,27,98,5537.02342414856
30,31,799.5228443266884,28,102,5701.331500053406
31,32,801.9903532228838,29,106,5902.815832614899
32,33,806.1033534137845,30,110,6054.222067594528
33,34,808.2226451580905,31,114,6254.573467493057
34,35,810.4012602592005,32,118,6444.020086288452
35,36,812.5732770299246,33,122,6656.085158824921
36,37,815.2075315921965,33,126,6846.142263412476
37,38,817.455157560935,34,130,7060.465675354004
38,39,819.6685021101883,35,134,7215.269081354141
39,40,821.949952737133,36,138,7511.0941462516785
40,41,824.3238377751894,37,142,7716.826565742493
41,42,826.7562419763638,38,146,7927.009636163712
42,43,829.190515520706,39,150,8123.196053028107
43,44,831.6107843931264,40,154,8288.578422784805
44,45,834.0201030278317,41,158,8489.259454011917
45,46,836.4543397711178,42,162,8664.149007797241
46,47,838.9349062433528,43,166,8902.383510351181
47,48,841.4506316959734,44,170,9094.98980975151
48,49,843.8567771759697,45,174,9340.79788184166
49,50,848.8266751263394,45,178,9546.408370733261
50,51,851.2330239248149,46,182,9733.689841270447
51,52,853.702192522568,47,186,9942.415420293808
52,53,859.5271762681065,48,190,10134.429667711258
53,54,861.4052632183605,49,194,10372.262800693512
54,55,864.0553212230086,50,198,10539.886251688004
55,56,866.6987704389986,51,202,10714.182235479355
56,57,869.6218209564776,52,206,10882.512563705444
57,58,872.1802417453986,52,210,11047.707276821136
58,59,875.8141088297529,53,214,11208.55729174614
59,60,878.7045572101341,54,218,11381.734834909439
60,61,881.5830325201933,55,222,11551.617773294449
61,62,884.6083467933919,56,226,11713.519337177277
62,63,887.5726094722876,56,230,11938.427075862885
63,64,890.6669544318564,57,234,12114.498550415039
64,65,893.8421341731901,58,238,12299.019850492477
65,66,897.1006420118688,59,242,12526.288619756699
66,67,900.5008016376336,60,246,12687.398741006851
67,68,903.9220325869939,61,250,12878.841090679169
68,69,907.1944160106041,62,254,13071.377353668213
69,70,910.7013176477603,63,258,13238.310331821442
70,71,914.3502033212256,64,262,13371.92140841484
71,72,918.1116711038705,65,266,13527.558270215988
72,73,921.6631796605848,66,270,13763.505256652832
73,74,926.4968885101858,67,274,13904.929725408554
74,75,930.1667766072107,68,278,14098.20801281929
75,76,934.0184270377763,69,282,14302.995566368103
76,77,938.1136042709599,69,286,14491.632852077484
77,78,942.1494232989777,70,290,14679.622856855392
78,79,947.5502374067977,70,294,14865.901924848557
79,80,953.2895893832114,70,298,15013.572803735733
80,81,966.0622601196326,71,302,15227.097360134125
81,82,974.1534305831141,72,306,15399.938572406769
82,83,980.2270610993387,73,310,15527.75100517273
83,84,986.8111633965817,74,314,15701.743537664413
84,85,993.150887066934,75,318,15870.658750772476
85,86,999.8593229204364,75,322,16025.907799243927
86,87,1006.6873283711619,76,326,16164.883643388748
87,88,1016.2940362703123,77,330,16347.892897605896
88,89,1026.181679919615,78,334,16520.360280513763
89,90,1036.3617690992792,79,338,16702.6082777977
90,91,1046.6744746978036,80,342,16910.089035987854
91,92,1057.789515646464,80,346,17144.112014055252
92,93,1068.3879561672272,80,350,17278.148723602295
93,94,1079.9363559646235,80,354,17477.401947021484
94,95,1091.5045634739085,81,358,17639.707206487656
95,96,1104.2464771649597,82,362,17811.114114761353
96,97,1117.4180939980233,83,366,17998.19703578949
97,98,1133.149524275485,84,370,18223.12805247307
98,99,1144.5006439965257,85,374,18365.15260696411
99,100,1158.4830075823206,85,378,18484.202197790146
