instance_id,app_id,machine_id
0,10,6
1,10,24
2,10,9
3,10,1
4,24,19
5,24,12
6,6,3
7,24,19
8,2,7
9,23,12
10,23,13
11,20,23
12,25,17
13,23,12
14,24,4
15,8,6
16,2,6
17,2,21
18,2,6
19,25,5
20,17,3
21,17,18
22,17,3
23,3,16
24,3,2
25,3,5
26,3,12
27,1,22
28,1,22
29,28,11
30,1,22
31,5,11
32,5,15
33,12,12
34,12,2
35,4,0
36,4,15
37,31,20
38,4,16
39,19,22
40,30,13
41,19,16
42,19,9
43,6,1
44,6,24
45,6,1
46,26,3
47,28,11
48,26,10
49,26,10
50,15,0
51,15,9
52,15,0
53,30,2
54,14,23
55,14,22
56,13,18
57,30,13
58,24,12
59,22,1
60,13,14
61,14,21
62,14,23
63,25,11
64,10,2
65,8,20
66,13,9
67,8,16
68,22,5
69,9,8
70,13,6
71,9,6
72,9,19
73,7,24
74,7,17
75,21,3
76,21,15
77,21,24
78,31,21
79,27,4
80,31,7
81,27,20
82,27,13
83,11,16
84,17,2
85,11,10
86,20,10
87,16,19
88,33,10
89,0,18
90,20,17
91,33,9
92,33,23
93,29,10
94,29,12
95,20,7
96,32,24
97,29,10
98,18,11
99,18,11
100,18,4
101,18,2
102,16,14
103,32,5
104,32,0
105,16,19
