t,num_placed,total_power,total_affinity,llm_calls_total,llm_time_total
0,1,747.4059605313,1,3,111.88460397720337
1,2,748.8536078208896,2,6,218.76336073875427
2,3,750.3031952400586,3,9,313.6267809867859
3,4,751.753501650911,4,12,520.3626420497894
4,5,753.208024953374,5,15,633.7653820514679
5,6,754.6742194429636,6,18,714.724221944809
6,7,756.1464835454266,7,21,803.6298959255219
7,8,757.6208876408026,8,24,894.0386471748352
8,9,759.0986817270522,9,27,983.22500872612
9,10,760.5935005385697,10,30,1055.3631007671356
10,11,762.0967894281592,11,33,1143.270404100418
11,12,763.6045351306224,12,36,1212.2543139457703
12,13,764.9938598833317,12,39,1310.3918042182922
13,14,766.5098564819353,13,42,1422.2662098407745
14,15,768.0355768141801,14,45,1487.4437427520752
15,16,769.5945073037697,15,48,1574.7373268604279
16,17,771.1571059429749,16,51,1651.3875622749329
17,18,772.7423875391895,17,54,1743.5072617530823
18,19,774.3983537706009,18,58,1821.686853170395
19,20,776.0749199120602,19,61,1890.9527487754822
20,21,777.831050205519,20,64,2027.8994665145874
21,22,779.5931437991189,21,67,2130.6310403347015
22,23,781.3855745214369,22,70,2280.9617323875427
23,24,783.1910481520032,23,73,2365.6833968162537
24,25,785.0169026385361,24,76,2462.292385816574
25,26,786.9331477403134,25,79,2556.006421327591
26,27,788.9189590687665,26,82,2655.3128941059113
27,28,790.9282854941827,27,85,2741.839129447937
28,29,792.9355773146427,28,89,2837.4102692604065
29,30,794.9861889501998,29,92,2963.7824127674103
