instance_id,app_id,machine_id
0,10,6
1,10,9
2,10,24
3,10,9
4,25,19
5,25,19
6,24,22
7,24,19
8,24,19
9,24,15
10,23,13
11,23,17
12,23,6
13,2,16
14,7,20
15,17,12
16,2,7
17,2,8
18,2,6
19,17,21
20,17,21
21,3,16
22,8,23
23,7,11
24,10,13
25,3,24
26,3,24
27,16,18
28,16,23
29,3,24
30,28,12
31,20,18
32,3,16
33,2,6
34,10,24
35,1,9
36,1,9
37,12,10
38,13,5
39,30,2
40,20,11
41,11,4
42,7,19
43,1,9
44,5,14
45,4,0
46,4,0
47,4,1
48,19,2
49,6,6
50,5,18
51,6,6
52,6,1
53,6,1
54,26,3
55,26,13
56,26,3
57,15,0
58,15,16
59,15,24
60,14,16
61,19,2
62,19,14
63,16,11
64,14,21
65,14,5
66,22,5
67,9,19
68,14,23
69,9,17
70,10,12
71,9,8
72,22,8
73,8,16
74,21,15
75,13,9
76,13,14
77,21,1
78,21,1
79,8,7
80,30,17
81,30,13
82,31,23
83,27,0
84,29,10
85,30,2
86,20,10
87,25,24
88,26,12
89,24,23
90,11,4
91,27,20
92,12,10
93,12,5
94,10,23
95,27,10
96,31,21
97,8,3
98,14,18
99,31,11
100,29,13
101,33,10
102,33,7
103,33,9
104,14,18
105,0,10
106,20,11
107,32,0
108,29,6
109,18,4
110,32,11
111,32,22
112,18,2
113,18,1
114,18,15
