t,num_placed,total_power,total_affinity,llm_calls_total,llm_time_total
0,1,747.4059605313,1,3,196.53364253044128
1,2,748.8536078208896,2,6,364.1748595237732
2,3,750.3031952400586,3,9,530.53435754776
3,4,751.753501650911,4,12,692.389048576355
4,5,753.208024953374,5,15,859.4719552993774
5,6,754.6742194429636,6,18,1014.4825937747955
6,7,756.1464835454266,7,21,1144.6787061691284
7,8,757.6208876408026,8,24,1297.6420114040375
8,9,759.0986817270522,9,27,1501.7158262729645
9,10,762.1781078746678,9,31,1684.2572164535522
10,11,763.6661645965246,10,35,1883.5673987865448
11,12,765.1609834080421,11,38,2067.554318666458
12,13,766.6769800066457,12,41,2260.305063724518
13,14,768.2379481091089,13,44,2441.23779129982
14,15,769.7636684413536,14,47,2591.0354895591736
15,16,771.3262670805588,15,50,2791.0483367443085
16,17,772.9115486767735,16,53,2948.6983799934387
17,18,774.483334437163,17,57,3113.5812363624573
18,19,777.7424094985023,18,61,3305.810786008835
19,20,779.3850248126363,19,65,3524.4102959632874
20,21,781.1411551060951,20,68,3687.0301444530487
21,22,782.9032486996952,21,71,3813.013908147812
22,23,784.7087223302615,22,74,3995.1455001831055
23,24,786.5345768167942,23,77,4184.806619644165
24,25,788.375558244299,24,80,4314.602594614029
25,26,790.2918033460763,25,83,4511.711042404175
26,27,792.2776146745294,26,86,4651.347334384918
27,28,794.2869410999456,27,89,4838.350041389465
28,29,796.2942329204056,28,93,5028.425494432449
29,30,798.3448445559627,29,96,5209.164052724838
30,31,800.4066389443985,30,99,5360.800561904907
31,32,802.5176451633805,31,102,5534.114203929901
32,33,804.6226555636865,32,106,5676.778098106384
33,34,806.7747187305911,33,110,5891.4221432209015
34,35,808.9307520876662,34,114,6071.753709554672
35,36,811.0996503814637,35,117,6265.685882329941
36,37,813.3292822195658,36,120,6437.113678455353
37,38,815.5986444830235,37,123,6588.389340639114
38,39,817.794304087856,38,127,6744.150666952133
39,40,820.1894049031774,39,131,6953.559878587723
40,41,822.5812155207727,40,135,7125.6534633636475
41,42,824.9711482467471,41,139,7262.659815788269
42,43,828.1497868914089,42,143,7404.182087182999
